packet_parser.py
=== AetherCore Packet Analyzer (Bamboo Server) ===
Packet   4 | Len=22896 | Opcode=0x5055 | Payload=2 bytes
Packet 174 | Len=24596 | Opcode=0x5090 | Payload=2 bytes
Packet 178 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 179 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 185 | Len=25112 | Opcode=0x4013 | Payload=2 bytes
Packet 189 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 190 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 195 | Len= 6437 | Opcode=0x4054 | Payload=2 bytes
Packet 198 | Len= 9496 | Opcode=0x0895 | Payload=0 bytes
Packet 199 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 200 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 202 | Len= 4096 | Opcode=0xF4F0 | Payload=14 bytes
Packet 203 | Len= 8192 | Opcode=0xE8D4 | Payload=14 bytes
Packet 204 | Len=12288 | Opcode=0x5900 | Payload=14 bytes
Packet 205 | Len=16384 | Opcode=0x96B7 | Payload=14 bytes
Packet 206 | Len=20480 | Opcode=0xD8FD | Payload=14 bytes
Packet 207 | Len=24576 | Opcode=0xE201 | Payload=14 bytes
Packet 208 | Len=28672 | Opcode=0xA15D | Payload=14 bytes
Packet 213 | Len=12837 | Opcode=0x7072 | Payload=2 bytes
Packet 217 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 218 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 224 | Len=14117 | Opcode=0x9059 | Payload=2 bytes
Packet 228 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 229 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 235 | Len=33317 | Opcode=0x0056 | Payload=2 bytes
Packet 239 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 240 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 245 | Len=34597 | Opcode=0x4003 | Payload=2 bytes
Packet 248 | Len= 9496 | Opcode=0x0895 | Payload=0 bytes
Packet 249 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 250 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 252 | Len= 4096 | Opcode=0x7DAF | Payload=14 bytes
Packet 254 | Len=12288 | Opcode=0xA97F | Payload=14 bytes
Packet 255 | Len=16384 | Opcode=0xD117 | Payload=14 bytes
Packet 256 | Len=20480 | Opcode=0xBEAC | Payload=14 bytes
Packet 257 | Len=24576 | Opcode=0x6714 | Payload=14 bytes
Packet 263 | Len=35109 | Opcode=0x9062 | Payload=2 bytes
Packet 267 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 268 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 274 | Len=37925 | Opcode=0x5089 | Payload=2 bytes
Packet 278 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 279 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 284 | Len=37925 | Opcode=0x5089 | Payload=2 bytes
Packet 288 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 289 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 294 | Len=22822 | Opcode=0x5069 | Payload=2 bytes
Packet 298 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 299 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 304 | Len=22822 | Opcode=0x5069 | Payload=2 bytes
Packet 308 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 309 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 314 | Len=37158 | Opcode=0x7094 | Payload=2 bytes
Packet 318 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 319 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 325 | Len=38694 | Opcode=0x3007 | Payload=2 bytes
Packet 329 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 330 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 336 | Len=22311 | Opcode=0x3076 | Payload=2 bytes
Packet 340 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 341 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 346 | Len=22311 | Opcode=0x3076 | Payload=2 bytes
Packet 350 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 351 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 356 | Len=20776 | Opcode=0x2054 | Payload=2 bytes
Packet 360 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 361 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 363 | Len= 4096 | Opcode=0x6201 | Payload=14 bytes
Packet 364 | Len= 8192 | Opcode=0x0006 | Payload=14 bytes
Packet 365 | Len=12288 | Opcode=0x0006 | Payload=14 bytes
Packet 366 | Len=16384 | Opcode=0x0000 | Payload=14 bytes
Packet 367 | Len=20480 | Opcode=0x0000 | Payload=14 bytes
Packet 368 | Len=24576 | Opcode=0x0000 | Payload=14 bytes
Packet 369 | Len=28672 | Opcode=0x0002 | Payload=14 bytes
Packet 370 | Len=32768 | Opcode=0x0000 | Payload=14 bytes
Packet 371 | Len=36864 | Opcode=0x0300 | Payload=14 bytes
Packet 372 | Len=40960 | Opcode=0x0000 | Payload=14 bytes
Packet 373 | Len=45056 | Opcode=0x0601 | Payload=14 bytes
Packet 374 | Len=49152 | Opcode=0x0000 | Payload=14 bytes
Packet 375 | Len=53248 | Opcode=0x0000 | Payload=14 bytes
Packet 376 | Len=57344 | Opcode=0x0000 | Payload=14 bytes
Packet 377 | Len=61440 | Opcode=0x0000 | Payload=14 bytes
Packet 378 | Len=    1 | Opcode=0x0000 | Payload=14 bytes
Packet 379 | Len= 4097 | Opcode=0x0000 | Payload=14 bytes
Packet 380 | Len= 8193 | Opcode=0x0000 | Payload=14 bytes
Packet 381 | Len=12289 | Opcode=0x0000 | Payload=14 bytes
Packet 382 | Len=16385 | Opcode=0x0008 | Payload=14 bytes
Packet 383 | Len=20481 | Opcode=0x0000 | Payload=14 bytes
Packet 384 | Len=24577 | Opcode=0x0300 | Payload=14 bytes
Packet 385 | Len=28673 | Opcode=0x0000 | Payload=14 bytes
Packet 386 | Len=32769 | Opcode=0x0003 | Payload=14 bytes
Packet 387 | Len=36865 | Opcode=0x0000 | Payload=14 bytes
Packet 388 | Len=40961 | Opcode=0x8D00 | Payload=14 bytes
Packet 389 | Len=45057 | Opcode=0x0000 | Payload=14 bytes
Packet 390 | Len=49153 | Opcode=0x0E01 | Payload=14 bytes
Packet 391 | Len=53249 | Opcode=0x0000 | Payload=14 bytes
Packet 392 | Len=57345 | Opcode=0x0000 | Payload=14 bytes
Packet 393 | Len=61441 | Opcode=0x0000 | Payload=14 bytes
Packet 394 | Len=    2 | Opcode=0x0000 | Payload=14 bytes
Packet 395 | Len= 4098 | Opcode=0x0000 | Payload=14 bytes
Packet 396 | Len= 8194 | Opcode=0x0000 | Payload=14 bytes
Packet 397 | Len=12290 | Opcode=0x0000 | Payload=14 bytes
Packet 398 | Len=16386 | Opcode=0x0000 | Payload=14 bytes
Packet 399 | Len=20482 | Opcode=0x0001 | Payload=14 bytes
Packet 400 | Len=24578 | Opcode=0x0000 | Payload=14 bytes
Packet 401 | Len=28674 | Opcode=0x0300 | Payload=14 bytes
Packet 402 | Len=32770 | Opcode=0x0000 | Payload=14 bytes
Packet 403 | Len=36866 | Opcode=0x0003 | Payload=14 bytes
Packet 404 | Len=40962 | Opcode=0x0000 | Payload=14 bytes
Packet 405 | Len=45058 | Opcode=0xA700 | Payload=14 bytes
Packet 406 | Len=49154 | Opcode=0x0000 | Payload=14 bytes
Packet 407 | Len=53250 | Opcode=0x1601 | Payload=14 bytes
Packet 408 | Len=57346 | Opcode=0x0000 | Payload=14 bytes
Packet 409 | Len=61442 | Opcode=0x0000 | Payload=14 bytes
Packet 410 | Len=    3 | Opcode=0x0000 | Payload=14 bytes
Packet 411 | Len= 4099 | Opcode=0x0000 | Payload=14 bytes
Packet 412 | Len= 8195 | Opcode=0x0000 | Payload=14 bytes
Packet 413 | Len=12291 | Opcode=0x0000 | Payload=14 bytes
Packet 414 | Len=16387 | Opcode=0x0000 | Payload=14 bytes
Packet 415 | Len=20483 | Opcode=0x0000 | Payload=14 bytes
Packet 416 | Len=24579 | Opcode=0x0002 | Payload=14 bytes
Packet 417 | Len=28675 | Opcode=0x0000 | Payload=14 bytes
Packet 418 | Len=32771 | Opcode=0x0300 | Payload=14 bytes
Packet 419 | Len=36867 | Opcode=0x0000 | Payload=14 bytes
Packet 420 | Len=40963 | Opcode=0x001B | Payload=14 bytes
Packet 421 | Len=45059 | Opcode=0x0000 | Payload=14 bytes
Packet 422 | Len=49155 | Opcode=0x9400 | Payload=14 bytes
Packet 423 | Len=53251 | Opcode=0x0000 | Payload=14 bytes
Packet 424 | Len=57347 | Opcode=0x2101 | Payload=14 bytes
Packet 425 | Len=61443 | Opcode=0x0000 | Payload=14 bytes
Packet 426 | Len=    4 | Opcode=0x0000 | Payload=14 bytes
Packet 427 | Len= 4100 | Opcode=0x0000 | Payload=14 bytes
Packet 428 | Len= 8196 | Opcode=0x0000 | Payload=14 bytes
Packet 429 | Len=12292 | Opcode=0x0205 | Payload=14 bytes
Packet 430 | Len=16388 | Opcode=0x0000 | Payload=14 bytes
Packet 431 | Len=20484 | Opcode=0x0000 | Payload=14 bytes
Packet 432 | Len=24580 | Opcode=0x0000 | Payload=14 bytes
Packet 433 | Len=28676 | Opcode=0x08FD | Payload=14 bytes
Packet 434 | Len=32772 | Opcode=0x0000 | Payload=14 bytes
Packet 435 | Len=36868 | Opcode=0x0000 | Payload=14 bytes
Packet 436 | Len=40964 | Opcode=0x0000 | Payload=14 bytes
Packet 437 | Len=45060 | Opcode=0x0100 | Payload=14 bytes
Packet 438 | Len=49156 | Opcode=0x0000 | Payload=14 bytes
Packet 439 | Len=53252 | Opcode=0x0000 | Payload=14 bytes
Packet 440 | Len=57348 | Opcode=0x0000 | Payload=14 bytes
Packet 441 | Len=61444 | Opcode=0x0000 | Payload=14 bytes
Packet 442 | Len=    5 | Opcode=0x0018 | Payload=14 bytes
Packet 443 | Len= 4101 | Opcode=0x0012 | Payload=14 bytes
Packet 444 | Len= 8197 | Opcode=0x099B | Payload=14 bytes
Packet 446 | Len=16389 | Opcode=0x4203 | Payload=14 bytes
Packet 447 | Len=20485 | Opcode=0xB090 | Payload=14 bytes
Packet 448 | Len=24581 | Opcode=0x721C | Payload=14 bytes
Packet 449 | Len=28677 | Opcode=0x6B18 | Payload=14 bytes
Packet 455 | Len=20776 | Opcode=0x2054 | Payload=2 bytes
Packet 459 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 460 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 462 | Len= 4096 | Opcode=0x01D7 | Payload=14 bytes
Packet 463 | Len= 8192 | Opcode=0x6C09 | Payload=14 bytes
Packet 464 | Len=12288 | Opcode=0x31A0 | Payload=14 bytes
Packet 465 | Len=16384 | Opcode=0xA28B | Payload=14 bytes
Packet 466 | Len=20480 | Opcode=0x014D | Payload=14 bytes
Packet 467 | Len=24576 | Opcode=0xE1E6 | Payload=14 bytes
Packet 468 | Len=28672 | Opcode=0x2583 | Payload=14 bytes
Packet 469 | Len=32768 | Opcode=0xEFB0 | Payload=14 bytes
Packet 470 | Len=36864 | Opcode=0x4872 | Payload=14 bytes
Packet 471 | Len=40960 | Opcode=0x830C | Payload=14 bytes
Packet 472 | Len=45056 | Opcode=0xB24F | Payload=14 bytes
Packet 473 | Len=49152 | Opcode=0x5721 | Payload=14 bytes
Packet 474 | Len=53248 | Opcode=0xC794 | Payload=14 bytes
Packet 475 | Len=57344 | Opcode=0x548C | Payload=14 bytes
Packet 476 | Len=61440 | Opcode=0xA5D2 | Payload=14 bytes
Packet 477 | Len=    1 | Opcode=0x0900 | Payload=14 bytes
Packet 478 | Len= 4097 | Opcode=0x0000 | Payload=14 bytes
Packet 480 | Len=12289 | Opcode=0x554F | Payload=14 bytes
Packet 481 | Len=16385 | Opcode=0x0000 | Payload=14 bytes
Packet 482 | Len=20481 | Opcode=0x5400 | Payload=14 bytes
Packet 483 | Len=24577 | Opcode=0x0000 | Payload=14 bytes
Packet 484 | Len=28673 | Opcode=0x0000 | Payload=14 bytes
Packet 485 | Len=32769 | Opcode=0x0000 | Payload=14 bytes
Packet 486 | Len=36865 | Opcode=0x0100 | Payload=14 bytes
Packet 487 | Len=40961 | Opcode=0x5349 | Payload=14 bytes
Packet 488 | Len=45057 | Opcode=0x0000 | Payload=14 bytes
Packet 489 | Len=49153 | Opcode=0x2300 | Payload=14 bytes
Packet 490 | Len=53249 | Opcode=0x0000 | Payload=14 bytes
Packet 491 | Len=57345 | Opcode=0x0000 | Payload=14 bytes
Packet 492 | Len=61441 | Opcode=0x0100 | Payload=14 bytes
Packet 493 | Len=    2 | Opcode=0x0000 | Payload=14 bytes
Packet 494 | Len= 4098 | Opcode=0x0000 | Payload=14 bytes
Packet 495 | Len= 8194 | Opcode=0x0000 | Payload=14 bytes
Packet 496 | Len=12290 | Opcode=0x0000 | Payload=14 bytes
Packet 497 | Len=16386 | Opcode=0x0000 | Payload=14 bytes
Packet 498 | Len=20482 | Opcode=0x0000 | Payload=14 bytes
Packet 499 | Len=24578 | Opcode=0x0000 | Payload=14 bytes
Packet 500 | Len=28674 | Opcode=0x0000 | Payload=14 bytes
Packet 501 | Len=32770 | Opcode=0x0000 | Payload=14 bytes
Packet 502 | Len=36866 | Opcode=0x0000 | Payload=14 bytes
Packet 503 | Len=40962 | Opcode=0x0000 | Payload=14 bytes
Packet 504 | Len=45058 | Opcode=0x0000 | Payload=14 bytes
Packet 505 | Len=49154 | Opcode=0x0000 | Payload=14 bytes
Packet 506 | Len=53250 | Opcode=0x0000 | Payload=14 bytes
Packet 507 | Len=57346 | Opcode=0x0000 | Payload=14 bytes
Packet 508 | Len=61442 | Opcode=0x0000 | Payload=14 bytes
Packet 509 | Len=    3 | Opcode=0x0000 | Payload=14 bytes
Packet 510 | Len= 4099 | Opcode=0x0000 | Payload=14 bytes
Packet 511 | Len= 8195 | Opcode=0x0000 | Payload=14 bytes
Packet 512 | Len=12291 | Opcode=0x0000 | Payload=14 bytes
Packet 513 | Len=16387 | Opcode=0x0000 | Payload=14 bytes
Packet 514 | Len=20483 | Opcode=0x0000 | Payload=14 bytes
Packet 515 | Len=24579 | Opcode=0x0000 | Payload=14 bytes
Packet 516 | Len=28675 | Opcode=0x0000 | Payload=14 bytes
Packet 517 | Len=32771 | Opcode=0x0000 | Payload=14 bytes
Packet 518 | Len=36867 | Opcode=0x0000 | Payload=14 bytes
Packet 519 | Len=40963 | Opcode=0x0000 | Payload=14 bytes
Packet 520 | Len=45059 | Opcode=0x0000 | Payload=14 bytes
Packet 521 | Len=49155 | Opcode=0x0000 | Payload=14 bytes
Packet 522 | Len=53251 | Opcode=0x0000 | Payload=14 bytes
Packet 523 | Len=57347 | Opcode=0x0016 | Payload=14 bytes
Packet 524 | Len=61443 | Opcode=0x0000 | Payload=14 bytes
Packet 525 | Len=    4 | Opcode=0x0000 | Payload=14 bytes
Packet 526 | Len= 4100 | Opcode=0x0311 | Payload=14 bytes
Packet 527 | Len= 8196 | Opcode=0x0001 | Payload=14 bytes
Packet 528 | Len=12292 | Opcode=0x0001 | Payload=14 bytes
Packet 529 | Len=16388 | Opcode=0x0001 | Payload=14 bytes
Packet 530 | Len=20484 | Opcode=0x0000 | Payload=14 bytes
Packet 532 | Len=28676 | Opcode=0x0011 | Payload=14 bytes
Packet 533 | Len=32772 | Opcode=0x0000 | Payload=14 bytes
Packet 535 | Len=40964 | Opcode=0x00B6 | Payload=14 bytes
Packet 536 | Len=45060 | Opcode=0x068E | Payload=14 bytes
Packet 537 | Len=49156 | Opcode=0x8C47 | Payload=14 bytes
Packet 538 | Len=53252 | Opcode=0x0000 | Payload=13 bytes
Packet 543 | Len=20776 | Opcode=0x5094 | Payload=2 bytes
Packet 547 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 548 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 553 | Len= 2096 | Opcode=0x9089 | Payload=2 bytes
Packet 557 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 558 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 564 | Len= 1844 | Opcode=0x4075 | Payload=2 bytes
Packet 568 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 569 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 574 | Len=37464 | Opcode=0x8086 | Payload=2 bytes
Packet 578 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 579 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 585 | Len= 4704 | Opcode=0x5038 | Payload=2 bytes
Packet 589 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 590 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 595 | Len= 1890 | Opcode=0x5070 | Payload=2 bytes
Packet 599 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 600 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 606 | Len= 2406 | Opcode=0x6083 | Payload=2 bytes
Packet 610 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 611 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 616 | Len=18440 | Opcode=0x4012 | Payload=2 bytes
Packet 620 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 621 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 627 | Len=22802 | Opcode=0x9015 | Payload=2 bytes
Packet 631 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 632 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 637 | Len=22036 | Opcode=0x4092 | Payload=2 bytes
Packet 641 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 642 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 648 | Len=26136 | Opcode=0x7081 | Payload=2 bytes
Packet 652 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 653 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 658 | Len=17448 | Opcode=0x4060 | Payload=2 bytes
Packet 662 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 663 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 669 | Len=34856 | Opcode=0x8011 | Payload=2 bytes
Packet 673 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 674 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 680 | Len=  560 | Opcode=0x2001 | Payload=2 bytes
Packet 684 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 685 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 690 | Len= 9010 | Opcode=0x5003 | Payload=2 bytes
Packet 693 | Len=  534 | Opcode=0x5646 | Payload=0 bytes
Packet 694 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 695 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 697 | Len= 4096 | Opcode=0x0000 | Payload=14 bytes
Packet 698 | Len= 8192 | Opcode=0x0000 | Payload=14 bytes
Packet 699 | Len=12288 | Opcode=0x0000 | Payload=14 bytes
Packet 700 | Len=16384 | Opcode=0x0000 | Payload=14 bytes
Packet 701 | Len=20480 | Opcode=0x0000 | Payload=14 bytes
Packet 702 | Len=24576 | Opcode=0x0000 | Payload=8 bytes
Packet 707 | Len=10550 | Opcode=0x0037 | Payload=2 bytes
Packet 711 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 712 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 717 | Len=30599 | Opcode=0x4055 | Payload=2 bytes
Packet 720 | Len=37408 | Opcode=0x5646 | Payload=0 bytes
Packet 721 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 722 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 724 | Len= 4096 | Opcode=0x6B09 | Payload=14 bytes
Packet 725 | Len= 8192 | Opcode=0x0000 | Payload=14 bytes
Packet 726 | Len=12288 | Opcode=0x0000 | Payload=14 bytes
Packet 727 | Len=16384 | Opcode=0x0000 | Payload=14 bytes
Packet 729 | Len=24576 | Opcode=0x0002 | Payload=14 bytes
Packet 730 | Len=28672 | Opcode=0x0000 | Payload=14 bytes
Packet 731 | Len=32768 | Opcode=0x020D | Payload=14 bytes
Packet 732 | Len=36864 | Opcode=0x0200 | Payload=9 bytes
Packet 737 | Len=34449 | Opcode=0x5014 | Payload=2 bytes
Packet 741 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 742 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 747 | Len=22272 | Opcode=0x4078 | Payload=2 bytes
Packet 751 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 752 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 758 | Len=25604 | Opcode=0x4018 | Payload=2 bytes
Packet 762 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 763 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 768 | Len= 6406 | Opcode=0x3009 | Payload=2 bytes
Packet 772 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 773 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 779 | Len=13063 | Opcode=0x7068 | Payload=2 bytes
Packet 783 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 784 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 789 | Len=12297 | Opcode=0x0075 | Payload=2 bytes
Packet 793 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 794 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 800 | Len=13075 | Opcode=0x5080 | Payload=2 bytes
Packet 804 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 805 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 810 | Len=38164 | Opcode=0x4011 | Payload=2 bytes
Packet 814 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 815 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
Packet 821 | Len=39192 | Opcode=0x6010 | Payload=2 bytes
Packet 825 | Len= 7765 | Opcode=0xCEE9 | Payload=0 bytes
Packet 826 | Len=44165 | Opcode=0xDF3E | Payload=2 bytes
